id,icode,name,url
1,10003188,屏幕截图_19-12-2024_203114_www.cabidigitallibrary.org.jpeg,/upload/wx/10003188/20241220100031.jpeg
2,10012190,屏幕截图_23-12-2024_95937_www.cabidigitallibrary.org.jpeg,/upload/wx/10012190/20241223100121.jpeg
3,10015187,Columnea latent viroid _ CABI Compendium.pdf,/upload/wx/10015187/20250220100152.pdf
4,10211160,屏幕截图_27-4-2024_111337_www.cabidigitallibrary.org.jpeg,/upload/wx/10211160/20240427111416.jpeg
5,10272423,屏幕截图_31-12-2024_102520_www.cabidigitallibrary.org.jpeg,/upload/wx/10272423/20241231102724.jpeg
6,10293320,屏幕截图_6-1-2025_10925_www.cabidigitallibrary.org.jpeg,/upload/wx/10293320/20250106102933.jpeg
7,10374611,Epiphyas postvittana (light brown apple moth) _ CABI Compendium.pdf,/upload/wx/10374611/20241226103746.pdf
8,10405,20181011_10405.菜豆普通花叶病毒研究进展_郑红英.pdf,/upload/wx/10405/20181011_10405.菜豆普通花叶病毒研究进展_郑红英.pdf
9,10436,危险性病害动态_10436.pdf,/upload/wx/10436/危险性病害动态_10436.pdf
10,10450,29-辽宁省流行的玉米矮花叶病毒原种类鉴定研究初报_10450.pdf,/upload/wx/10450/29-辽宁省流行的玉米矮花叶病毒原种类鉴定研究初报_10450.pdf
11,10454,2004（2）86凤仙花坏死斑病毒及其防治_汪鑫_10454.pdf,/upload/wx/10454/2004（2）86凤仙花坏死斑病毒及其防治_汪鑫_10454.pdf
12,10482,中国菌刺孢属一新记录种——槭菌刺孢 (1)_10482.pdf,/upload/wx/10482/中国菌刺孢属一新记录种——槭菌刺孢 (1)_10482.pdf
13,10534780,Melanaspis smilacis _ CABI Compendium.pdf,/upload/wx/10534780/20250108105348.pdf
14,10634,2003（4）226值得关注的大豆新病害_吴品珊_10634.pdf,/upload/wx/10634/2003（4）226值得关注的大豆新病害_吴品珊_10634.pdf
15,10645,37-侵染甘薯的烟草花叶病毒_TMV_辛相启_10645.pdf,/upload/wx/10645/37-侵染甘薯的烟草花叶病毒_TMV_辛相启_10645.pdf
16,1103116,Exallomochlus hispidus (cocoa mealybug) _ CABI Compendium.pdf,/upload/wx/1103116/20241226110311.pdf
17,11595293,屏幕截图_4-1-2025_115929_www.cabidigitallibrary.org.jpeg,/upload/wx/11595293/20250104115952.jpeg
18,13154825,Nematus lipovskyi.pdf,/upload/wx/13154825/20241202131548.pdf
19,13203943,屏幕截图_20-12-2024_13202_www.cabidigitallibrary.org.jpeg,/upload/wx/13203943/20241220132040.jpeg
20,13211921,屏幕截图_23-12-2024_132054_www.cabidigitallibrary.org.jpeg,/upload/wx/13211921/20241223132119.jpeg
21,14001988,屏幕截图_27-4-2024_135819_www.cabidigitallibrary.org.jpeg,/upload/wx/14001988/20240427140019.jpeg
22,14330040,Tomato black ring virus (ring spot of beet) _ CABI Compendium.pdf,/upload/wx/14330040/20241218143853.pdf
23,14345463,Wasmannia auropunctata (little fire ant) _ CABI Compendium.pdf,/upload/wx/14345463/20250214143455.pdf
24,14434099,Bemisia giffardi_10.pdf,/upload/wx/14434099/20230801144340.pdf
25,1450522,Neofabraea vagabunda (PEZIAL)[Host plants]_ EPPO Global Database.pdf,/upload/wx/1450522/20250224145052.pdf
26,1453477,我国进境水果携带病毒及类病毒情况分析_刘明航.pdf,/upload/wx/1453477/20240321145347.pdf
27,14573236,Pezicula alba (bark canker_ apple) _ CABI Compendium.pdf,/upload/wx/14573236/20250214145732.pdf
28,1516496,Coleetal_2019_PammenejuniperananewtoBritain.pdf,/upload/wx/1516496/20241211151649.pdf
