other_name_type,named_year,other_name,species_guid
拉丁名,"Murray, 1877",Vasatis,210b838d-b17c-4286-bf8f-16c8dd65f80c
拉丁名,,Amblyseius longipes,c349a478-1aca-4d4d-a051-2208976a379b
拉丁名,(Geijskes),Brevipalpus oudemansi,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,(C. & F.),Brevipalpus pulcher,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,(Canestrini & Fanzago),Brevipalpus pulcher,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,,Brevipalpus pyri,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,,Caligonus pulcher,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,,Cenopalpus oudemansi,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,,Cenopalpus pyri,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,,Tenuipalpus oudemansi,6ad9ab64-e91e-462a-9fc3-291dad25ceb5
拉丁名,Banks,Aculus cornutus,e0c396d3-bbcb-476c-a97a-251fe22dca1b
英文名,,peach silver leaf mite,e0c396d3-bbcb-476c-a97a-251fe22dca1b
英文名,,peach silver mite,e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,,Phyllocoptes cornutus,e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,,Phyllocoptes fockeui,e0c396d3-bbcb-476c-a97a-251fe22dca1b
英文名,,"plum nursery, mite",e0c396d3-bbcb-476c-a97a-251fe22dca1b
英文名,,"plum, leaf mite",e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,(Banks),Vasates cornutus,e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,Banks,Vasates cornutus,e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,Nalepa & Trouessart,Vasates fockeui,e0c396d3-bbcb-476c-a97a-251fe22dca1b
拉丁名,"Boczek & Chandrapatya, 1997",Bachinius,96a9103a-8ab2-4f05-bc20-33db763f85c5
拉丁名,"Chandrapatya, 1997",Kasetsarus,96a9103a-8ab2-4f05-bc20-33db763f85c5
拉丁名,"Boczek & Szymkowiak, 1997",Ursynovia,96a9103a-8ab2-4f05-bc20-33db763f85c5
拉丁名,"McGregor, 1928",Tetranychus californicus,ce79b55b-6526-49f4-abad-36bf993cf6b8
拉丁名,"Ewing, 1913",Tetranychus weldoni,ce79b55b-6526-49f4-abad-36bf993cf6b8
拉丁名,"Lo, 1969",Tetranychus cordylinicolus,ee53f66b-8321-4d72-b14c-89f077186a6a
拉丁名,"(Tikader, 1974)",Plexippus bengalensis,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(Roewer, 1944)",Plexippus bocki,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(Hogg, 1922)",Plexippus crassus,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(Berland, 1933)",Plexippus magnus,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(Tikader, 1974)",Plexippus mandali,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(Chamberlin, 1924)",Plexippus mimus,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"Karsch, 1881",Plexippus planipudens,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"Karsch, 1878",Plexippus punctatus,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"Mello-Leit?o, 1946",Plexippus quadriguttatus,49046f14-cbd8-444b-8080-613f50a67733
拉丁名,"(C. L. Koch, 1846)",Plexippus vetusta,49046f14-cbd8-444b-8080-613f50a67733
中文名,,桔褐顶背瘿螨,31657d9f-fcde-49b0-b57c-6b4e7d6b96e4
拉丁名,,Hystripalpus,f63dd769-74d2-4e2b-b50f-5d28f998c68e
