species_guid,icode,author_display,title
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,3217,"中国农科院植保所, 1996",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
e0acc296-70cd-4a76-8279-45fa5eef0e77,1652,C.M.I,
e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
e0acc296-70cd-4a76-8279-45fa5eef0e77,1652,C.M.I,
e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
