species_guid,plant_parts,pest_stage,visibility_type,spreading_way
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,种子,"菌核,菌核/菌丝,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,枝,"菌核,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,叶,"菌核,菌核/菌丝,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,芽,"菌核,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,生长介质,"菌核,菌核/菌丝,菌丝",不可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,全株,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,木材,"菌核,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,鳞球茎（包括鳞茎/块茎/块根）,"菌核,菌核/菌丝,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,茎;枝;芽,菌核/菌丝,裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,茎,"菌核,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,花,"菌核,菌核/菌丝,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,果实（包括果柄）,"菌核,菌核/菌丝,菌丝",裸眼可见,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,根,"菌核,菌核/菌丝,菌丝",裸眼可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,种子,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,种苗;组培苗,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,叶,孢子/菌丝/子实体,光学显微镜可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,生长介质,孢子/菌丝/子实体,不可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,全株,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,鳞球茎（包括鳞茎/块茎/块根）,孢子/菌丝/子实体,光学显微镜可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,茎;枝;芽,孢子/菌丝/子实体,光学显微镜可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,花,孢子/菌丝/子实体,光学显微镜可见,
e0acc296-70cd-4a76-8279-45fa5eef0e77,果实（包括果柄）,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,根,孢子/菌丝/子实体,光学显微镜可见,
d7815b53-c892-4409-9465-29ae2f0e7703,全株,,,
f5b56acb-e6c0-4911-9e90-8d8340dc4884,全株,,,
53317adf-4d45-4366-9d3c-791706e42a83,种子,,,
53317adf-4d45-4366-9d3c-791706e42a83,种苗;组培苗,,,
53317adf-4d45-4366-9d3c-791706e42a83,叶,,,
53317adf-4d45-4366-9d3c-791706e42a83,茎;枝;芽,,,
53317adf-4d45-4366-9d3c-791706e42a83,花,,,
53317adf-4d45-4366-9d3c-791706e42a83,果实（包括果柄）,,,
53317adf-4d45-4366-9d3c-791706e42a83,根,,,
68021f92-cac6-4d0e-b112-4bb822cd708f,枝,,,
68021f92-cac6-4d0e-b112-4bb822cd708f,叶,,,
68021f92-cac6-4d0e-b112-4bb822cd708f,茎,,,
68021f92-cac6-4d0e-b112-4bb822cd708f,果实（包括果柄）,,,
217d2593-2b73-42c2-a2e7-d90594399efa,种子,,,
217d2593-2b73-42c2-a2e7-d90594399efa,种苗;组培苗,,,
217d2593-2b73-42c2-a2e7-d90594399efa,叶,,,
217d2593-2b73-42c2-a2e7-d90594399efa,茎;枝;芽,,,
217d2593-2b73-42c2-a2e7-d90594399efa,花,,,
217d2593-2b73-42c2-a2e7-d90594399efa,根,,,
ea858c34-c90b-4de1-a645-0570f630b35b,全株,,,
87f5d457-b6dd-4426-bd84-6564efb48db9,全株,,,
cb31b8dd-172b-4fee-b94f-86db959ed9ee,种苗;组培苗,卵/幼虫/成虫,不可见,
cb31b8dd-172b-4fee-b94f-86db959ed9ee,叶,卵/幼虫/成虫,不可见,
cb31b8dd-172b-4fee-b94f-86db959ed9ee,花,幼虫/成虫,光学显微镜可见,
cb31b8dd-172b-4fee-b94f-86db959ed9ee,果实（包括果柄）,卵/幼虫/成虫,不可见,
95b7e33c-2af9-46bc-ab58-8e5db951694c,全株,,,
90a64589-5b81-4497-9425-194f23fc48cf,果实（包括果柄）,,,
71b5dc35-2a10-4e2b-bdc9-549aa75e34a9,叶,,,
71b5dc35-2a10-4e2b-bdc9-549aa75e34a9,全株,,,
71b5dc35-2a10-4e2b-bdc9-549aa75e34a9,茎,,,
b39d41cc-fee1-42f5-ac33-069408f45db3,全株,,,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,种子,孢子/菌丝,不可见,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,叶,,,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,树皮,,,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,生长介质,孢子,不可见,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,全株,,,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,鳞球茎（包括鳞茎/块茎/块根）,孢子/菌丝,裸眼可见,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,果实（包括果柄）,孢子/菌丝,裸眼可见,
8d01dcf8-ed1d-41c8-88ff-2890853a75f8,根,孢子/菌丝,裸眼可见,
42040aea-22a0-4c0c-8a6b-adb4f1bf4dbb,种子,幼虫/蛹,裸眼可见,
42040aea-22a0-4c0c-8a6b-adb4f1bf4dbb,花,幼虫/蛹,裸眼可见,
9f9bbb22-ea97-439d-84d7-773d73243b8f,全株,,,
da5830dc-3630-4c89-8c90-6faaf2e9d748,生长介质,蛹,,
da5830dc-3630-4c89-8c90-6faaf2e9d748,果实（包括果柄）,卵/幼虫,裸眼可见,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,种子,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,种苗;组培苗,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,叶,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,全株,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,茎;枝;芽,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,茎,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,花,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,果实（包括果柄）,,,
f5494ded-6bcb-4f54-9435-ac5e1966fadc,根,,,
e0ef18c2-a6a8-4132-960c-58a4a8b829fb,全株,,,
617531e7-d6a4-4d98-a0d2-b2e35a4d095e,叶,,,
617531e7-d6a4-4d98-a0d2-b2e35a4d095e,果实（包括果柄）,,,
169a55dc-c8cb-4ad8-bcf8-256f576a54b0,枝,,,
169a55dc-c8cb-4ad8-bcf8-256f576a54b0,全株,,,
169a55dc-c8cb-4ad8-bcf8-256f576a54b0,果实（包括果柄）,,,
6d6c08b5-37a7-47de-acd6-9956241a5d62,全株,,,
550e55bd-bb5d-4f27-a304-1723833299c0,全株,,,
d5fc8481-8bf7-4739-9c31-e12cd6d5b922,叶,,,
d5fc8481-8bf7-4739-9c31-e12cd6d5b922,茎;枝;芽,,,
d5fc8481-8bf7-4739-9c31-e12cd6d5b922,根,,,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,种苗;组培苗,,裸眼可见,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,叶,,裸眼可见,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,茎;枝;芽,,不可见,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,花,,不可见,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,果实（包括果柄）,,不可见,
8374837d-5447-47eb-90d5-c93bbcc6a2bd,根,,不可见,
51b52725-0159-4223-a401-3acf54ff723b,叶,,,
51b52725-0159-4223-a401-3acf54ff723b,茎;枝;芽,,,
51b52725-0159-4223-a401-3acf54ff723b,根,,,
8f895d8a-7655-44ed-b591-dbc502c054f3,叶,,,
8f895d8a-7655-44ed-b591-dbc502c054f3,茎;枝;芽,,,
8f895d8a-7655-44ed-b591-dbc502c054f3,根,,,
7814cee0-679f-44c9-948e-3c381745f740,叶,,,
7814cee0-679f-44c9-948e-3c381745f740,茎;枝;芽,,,
7814cee0-679f-44c9-948e-3c381745f740,根,,,
eec0baea-3927-4660-8918-3cf2a0a342ef,种子,种子,,
eec0baea-3927-4660-8918-3cf2a0a342ef,生长介质,种子,,
eec0baea-3927-4660-8918-3cf2a0a342ef,鳞球茎（包括鳞茎/块茎/块根）,,,
eec0baea-3927-4660-8918-3cf2a0a342ef,果实（包括果柄）,种子,,
4a67ef46-46a3-4225-894a-ffebaf21dcba,枝,,不可见,
4a67ef46-46a3-4225-894a-ffebaf21dcba,叶,,不可见,
4a67ef46-46a3-4225-894a-ffebaf21dcba,芽,,不可见,
4a67ef46-46a3-4225-894a-ffebaf21dcba,茎,,不可见,
4a67ef46-46a3-4225-894a-ffebaf21dcba,根,,不可见,
cb6909cd-8db2-432b-a7ab-bf2801c48834,果实（包括果柄）,,,
5c1e9dae-4f1d-442a-9a53-66d584392126,叶,,,
89eb0c78-058f-46fd-b195-b569082b94cc,种苗;组培苗,,裸眼可见,
89eb0c78-058f-46fd-b195-b569082b94cc,叶,,裸眼可见,
89eb0c78-058f-46fd-b195-b569082b94cc,茎;枝;芽,,不可见,
89eb0c78-058f-46fd-b195-b569082b94cc,花,,不可见,
89eb0c78-058f-46fd-b195-b569082b94cc,根,,不可见,
dd3ba768-3516-435e-8f86-3a1d132b3c5f,全株,,,
3054960f-d49e-4351-b005-28eef49b552d,叶,,,
b1b9478a-3d78-4184-bb61-59611317cb57,叶,,,
c5cf8a46-3dfc-4053-948e-2181347efcac,全株,,,
9956ca56-ee0b-4c28-bba8-ea301db1e28c,叶,,,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,种苗;组培苗,,裸眼可见,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,叶,,裸眼可见,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,茎;枝;芽,,裸眼可见,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,花,,不可见,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,果实（包括果柄）,,裸眼可见,
ad04b3c6-9ebb-4d16-be17-ae1398b0216c,根,,不可见,
7aac2c99-8c82-41df-a13c-e32ebc027c60,种子,,,
7aac2c99-8c82-41df-a13c-e32ebc027c60,种苗;组培苗,,,
7aac2c99-8c82-41df-a13c-e32ebc027c60,叶,,,
7aac2c99-8c82-41df-a13c-e32ebc027c60,茎;枝;芽,,,
7aac2c99-8c82-41df-a13c-e32ebc027c60,花,,,
7aac2c99-8c82-41df-a13c-e32ebc027c60,根,,,
fb257902-f75d-4504-8c10-4a73135cda03,叶,,裸眼可见,
c015ae98-e310-4d26-be2d-a1bb38a7b90f,叶,,,
c015ae98-e310-4d26-be2d-a1bb38a7b90f,全株,,,
c015ae98-e310-4d26-be2d-a1bb38a7b90f,果实（包括果柄）,,,
39fe6370-043c-4b6f-bed2-3cb54714b0d5,叶,卵/幼虫/若虫/蛹/成虫,光学显微镜可见,
39fe6370-043c-4b6f-bed2-3cb54714b0d5,花,卵/幼虫/若虫/蛹/成虫,光学显微镜可见,
39fe6370-043c-4b6f-bed2-3cb54714b0d5,果实（包括果柄）,卵/幼虫/若虫/蛹/成虫,光学显微镜可见,
02dd3141-35a9-4d8d-bd57-a158a139d6a0,枝,,,
eb413f5e-5e6b-4474-8843-ed1028e1fdfe,叶,幼虫,,
188145ff-76c0-4bf3-97e1-1b8d16db3329,种子,种子,,
188145ff-76c0-4bf3-97e1-1b8d16db3329,生长介质,根,,
188145ff-76c0-4bf3-97e1-1b8d16db3329,花,种子,,
188145ff-76c0-4bf3-97e1-1b8d16db3329,果实（包括果柄）,种子,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,种子,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,种苗;组培苗,卵/幼虫,裸眼可见,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,叶,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,树皮,卵/幼虫/蛹,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,生长介质,成虫,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,木材,卵/幼虫/蛹,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,茎;枝;芽,卵/幼虫/蛹,裸眼可见,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,花,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,果实（包括果柄）,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,根,卵/幼虫/蛹,裸眼可见,
3ed204ff-73de-4a98-9776-66293938498a,种子,种子,,
3ed204ff-73de-4a98-9776-66293938498a,叶,种子,,
