icode,author_display,title,species_guid,id
168719,Deeba Kamil,印度特里普拉邦首次报道罗耳阿太菌Athelia rolfsii引起槟榔叶鞘腐烂病,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
168536,D.Kamil,印度首次报道罗耳阿太菌Athelia rolfsii引起咖喱树茎腐病,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
159087,"Dias-Arieira C R,et al.2014","First Report of Sclerotium rolfsii in Greater Plantain in Paraná, Brazil",6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
153616,"CABI, 2012",作物保护大全检索系统2012(Crop Protection Compendium 2012),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
6908,"陈宗懋等, 1989",茶树病害的诊断,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
3217,"中国农科院植保所, 1996",中国农作物病虫害(下),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
3217,"中国农科院植保所, 1996",中国农作物病虫害(下),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
3217,"中国农科院植保所, 1996",中国农作物病虫害(下),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,e0acc296-70cd-4a76-8279-45fa5eef0e77,
7000,"CAB, 2006",CPC2006,e0acc296-70cd-4a76-8279-45fa5eef0e77,
7000,"CAB, 2006",CPC2006,e0acc296-70cd-4a76-8279-45fa5eef0e77,
7000,"CAB, 2006",CPC2006,e0acc296-70cd-4a76-8279-45fa5eef0e77,
448,"CABI and EPPO, 1992",Quarantine Pests for Europe,e0acc296-70cd-4a76-8279-45fa5eef0e77,
1652,C.M.I,CMI Distribution Map of Plant Diseases,e0acc296-70cd-4a76-8279-45fa5eef0e77,
1866,"朱培良等, 1987",一种危险性病害——菊花疫病,e0acc296-70cd-4a76-8279-45fa5eef0e77,
1866,"朱培良等, 1987",一种危险性病害——菊花疫病,e0acc296-70cd-4a76-8279-45fa5eef0e77,
1866,"朱培良等, 1987",一种危险性病害——菊花疫病,e0acc296-70cd-4a76-8279-45fa5eef0e77,
169277,印丽萍，2018,中国进境植物检疫性有害生物——杂草卷,d7815b53-c892-4409-9465-29ae2f0e7703,
7000,"CAB, 2006",CPC2006,d7815b53-c892-4409-9465-29ae2f0e7703,
7000,"CAB, 2006",CPC2006,d7815b53-c892-4409-9465-29ae2f0e7703,
7000,"CAB, 2006",CPC2006,f5b56acb-e6c0-4911-9e90-8d8340dc4884,
7000,"CAB, 2006",CPC2006,f5b56acb-e6c0-4911-9e90-8d8340dc4884,
7000,"CAB, 2006",CPC2006,53317adf-4d45-4366-9d3c-791706e42a83,
7000,"CAB, 2006",CPC2006,53317adf-4d45-4366-9d3c-791706e42a83,
7000,"CAB, 2006",CPC2006,53317adf-4d45-4366-9d3c-791706e42a83,
7000,"CAB, 2006",CPC2006,53317adf-4d45-4366-9d3c-791706e42a83,
3026,"CABI, 2005",Coffee ringspot virus,53317adf-4d45-4366-9d3c-791706e42a83,
3026,"CABI, 2005",Coffee ringspot virus,53317adf-4d45-4366-9d3c-791706e42a83,
3026,"CABI, 2005",Coffee ringspot virus,53317adf-4d45-4366-9d3c-791706e42a83,
168701,"Department of Agriculture state of HAWAII,2020",美国夏威夷首次发现兰花斑点病毒Orchid fleck virus,68021f92-cac6-4d0e-b112-4bb822cd708f,
168516,夏威夷植物产业部官网,夏威夷岛首次报道兰花斑点病毒Orchid fleck virus侵染粗柠檬树和柑橘树引起叶片及茎部黄色病变,68021f92-cac6-4d0e-b112-4bb822cd708f,
163694,"Mei Y, et al. 2016",First Report of Orchid fleck virus in Lilyturf (Liriope spicata) in Australia,68021f92-cac6-4d0e-b112-4bb822cd708f,
1674,"牛宏舜等, 1992",病毒手册,68021f92-cac6-4d0e-b112-4bb822cd708f,
168532,WTO,韩国新增5种检疫性有害生物,217d2593-2b73-42c2-a2e7-d90594399efa,
159322,"Perotto M C,et al.2014",First report of Strawberry crinkle virus in Argentina,217d2593-2b73-42c2-a2e7-d90594399efa,
7000,"CAB, 2006",CPC2006,217d2593-2b73-42c2-a2e7-d90594399efa,
7000,"CAB, 2006",CPC2006,217d2593-2b73-42c2-a2e7-d90594399efa,
7000,"CAB, 2006",CPC2006,217d2593-2b73-42c2-a2e7-d90594399efa,
7000,"CAB, 2006",CPC2006,217d2593-2b73-42c2-a2e7-d90594399efa,
1674,"牛宏舜等, 1992",病毒手册,217d2593-2b73-42c2-a2e7-d90594399efa,
1674,"牛宏舜等, 1992",病毒手册,217d2593-2b73-42c2-a2e7-d90594399efa,
2982,"CABI, 2005",Strawberry crinkle virus,217d2593-2b73-42c2-a2e7-d90594399efa,
2982,"CABI, 2005",Strawberry crinkle virus,217d2593-2b73-42c2-a2e7-d90594399efa,
2982,"CABI, 2005",Strawberry crinkle virus,217d2593-2b73-42c2-a2e7-d90594399efa,
169139,"卢乃会,2021",警惕检疫性害虫大洋臀纹粉蚧在中国大陆扩散,ea858c34-c90b-4de1-a645-0570f630b35b,
153568,"陈乃中, 2009",中国进境植物检疫性有害生物(昆虫卷),ea858c34-c90b-4de1-a645-0570f630b35b,
154169,梁广勤,中国进出境水果关注的有害生物,ea858c34-c90b-4de1-a645-0570f630b35b,
7000,"CAB, 2006",CPC2006,cb31b8dd-172b-4fee-b94f-86db959ed9ee,
7000,"CAB, 2006",CPC2006,cb31b8dd-172b-4fee-b94f-86db959ed9ee,
7000,"CAB, 2006",CPC2006,cb31b8dd-172b-4fee-b94f-86db959ed9ee,
