species_guid,record_guid,scientific_name,host_range,potential_eco_desc,description,management_info,remark,reference_id,reference_name,page,author,created_time,editor,update_time,id
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,83950090-d2c1-492d-a0bb-02f316bbb954,Athelia rolfsii,易感的农作物包括甘薯、南瓜、玉米、小麦和花生等，易感园艺植物包括水仙属、鸢尾属、百合属、百日草属和菊属等,繁殖力强和产生菌核持久，因此会给农作物和园艺植物带来重大损失,,,,168719,印度特里普拉邦首次报道罗耳阿太菌Athelia rolfsii引起槟榔叶鞘腐烂病,,cpqis.yuhaixin,2020-12-29 10:01:05.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,3b5ad7d7-2435-45d4-9c9f-0127ecbe9eff,Athelia rolfsii,咖喱、甜菜、油菜、棉花、胡萝卜、马铃薯,咖喱树上观察到茎腐病的发生，主要症状表现为腐烂、萎蔫和枯萎，发病率在8％至10％之间,,,,168536,印度首次报道罗耳阿太菌Athelia rolfsii引起咖喱树茎腐病,,cpqis.yuhaixin,2020-12-15 14:11:26.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,f3261a55-567b-4b9e-b1f4-0c65d6c1f7fc,Athelia rolfsii,大车前Plantago major,,"Between November 2011 and April 2012, greater plantains cultivated in the Medicinal Plant Garden at the Umuarama Advanced Campus of the State University of Maringa (UEM-CAU) suddenly died off. The test demonstrated that the pathogen was Athelia rolfsii. This is the first report of this pathogen in Greater Plantain in Paraná, Brazil.",,,159087,"First Report of Sclerotium rolfsii in Greater Plantain in Paraná, Brazil",851,cpqis.wangnaiyang,2014-07-01 09:17:35.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,95c65d7a-bf24-4512-95ef-cfcfb2a37dbe,Athelia rolfsii,"C. rolfsii infects more than 500 species of monocotyledonous and dicotyledonous plants, but is especially severe on legumes, solanaceous crops, cucurbits and other vegetables grown in rotation with beans (Hall, 1991).","Disease caused by C. rolfsii occurs on a broad range of crops and can be of economic importance in tropical and subtropical regions of the world. <Br>
Stem and pod rots caused by C. rolfsii affect groundnut in many countries, reducing yields by 10-25%. Pod yield losses may reach more than 80% in heavily infested fields (Mehan et al., 1995). A yield-loss study of groundnut in Alabama, USA, during 1983-89, showed that yield yield was increased by an average of 10.6% and disease incidence was reduced by 52.6% in plots protected by fungicide compared with untreated plots (Bowen et al., 1992). In a survey of betel gardens in different localities in India, C. rolfsii was found to be responsible for plant losses of 42-62% (Singh and Chand, 1972). <Br>
In August 1990, soyabean plants with characteristic symptoms of southern blight caused by C. rolfsii were found in south-eastern Kansas, USA; the disease affected 10-50% of plants in localized areas (Appel and Jardine, 1992). In southern regions of the USA, losses in soyabean of 20-30% have been reported, but the disease is generally considered to be minor (Aycock, 1966). The disease has been reported as a minor problem in soyabean in Zimbabwe (Smartt, 1960). <Br>
Corticium rolfsii ear rot has been reported on maize only in the Himachal Pradesh region of India, and in Pakistan, where it has causes significant losses (Sharma et al., 1976, 1977). A sunflower disease survey in the mid-west of the USA during 1989 detected S. rolfsii wilt in 6% of surveyed fields (Gulya et al., 1991).",,"Chemical Control<Br>
Control of C. rolfsii has been obtained on several crops by fungicide applications, as foliar sprays, soil drenches or seed treatment. Successful control by spray applications has been reported for tebuconazole on groundnut (Grichar, 1995). Quintozene, chloroneb and tridemorph applied as soil drenches gave good control of sugarbeet infection in field plots inoculated with sclerotia of C. rolfsii (Sharma et al., 1990). Other effective soil drenches include carboxin on sweet potato (Sivaprakasam and Kandaswamy, 1983) and benodanil on wheat (Hagan et al., 1991). Granular application of quintozene or flutolanil to soil controlled the disease in groundnut (Hagan et al., 1991). The insecticide chloropyrifos reduced stem rot by C. rolfsii by 17% in groundnut (Kucharek and Edmondson, 1991).<Br>
Fungicide seed treatments are effective for control of C. rolfsii diseases on several crops. The most commonly cited fungicides include captan (Fahim et al., 1984), quintozene, thiram and carbendazim (Singh et al., 1982), triadimenol (Sharma et al., 1994), benomyl (Prasad et al., 1987), mancozeb (Singh et al., 1985), guazatine (Kulkarni, 1980) and oxycarboxin (Reddy et al., 1976).  Biological Control<Br>
Several fungi have been investigated extensively as biological control agents for S. rolfsii. Application of a wheat bran preparation of Trichoderma harzianum enriched with nutrient solution at 10 g/m2, soil at the same time or 1 year after soil inoculation with C. rolfsii at 1.5 g/m2, significantly reduced sugarbeet root rot and increased yield. The same preparation retained its protective effect against C. rolfsii the following year, but a second treatment with T. harzianum increased the protective value (Ciccares et al., 1992). The mechanism of control by was investigated by examining the hyphal interactions between T. harzianum and C. rolfsii in vitro. Thin hyphal branches of T. harzianum grew towards and along those of C. rolfsii, forming several short branches and coils. Neither of these structures was formed in the absence of C. rolfsii. Penetration sites on the host hyphae were observed after removal of T. harzianum. Following penetration, granulation and vacuolation of the host hyphae occurred (Sariah-Meon, 1991).<Br>
T. viride and T. koningii gave some control of C. rolfsii on barley under greenhouse conditions (Olivos and Mont, 1993) and tomato under field conditions (Ristaino et al., 1994). Gliocladium virens has shown potential for biological control of C. rolfsii on groundnut (Sreenivasaprasad and Manibhushanrao, 1993), Phaseolus vulgaris (Lewis et al., 1993) and tomato (Ristaino et al., 1994). Various vesicular-arbuscular mycorrhizal fungi have been examined for control of C. rolfsii in chilli (Sreenivasa et al., 1992) and wheat (Harlapur et al., 1990).  Cultural Control and Sanitary Methods<Br>
Crop rotation has a strong influence on survival of C. rolfsii. Populations of viable sclerotia were highest in soil in a field in which tomatoes were planted for 3 successive years before sampling and in one in which tomatoes followed groundnut in the 2 years prior to the study. Lowest sclerotial numbers were recorded in fields in which groundnut followed maize or in which maize or sorghum was the last crop before sampling (Chima Wokocha, 1988). In another study, no sclerotia were detected in fields under maize which had been under groundnut the previous year, while 3.33 sclerotia/250 ml soil were found in groundnut fields which had been under maize the previous year (Rodriguez Kabana et al., 1974). Other crop rotation studies on groundnut have shown that the incidence of C. rolfsii infection was lower in rotation with crops such as cotton or soyabean than in goundnut monoculture (Rodriguez Kabana, 1991a, b). <Br>
In pot experiments, reduction in pre- and post-emergence death of seedlings infected by C. rolfsii was given by amendments of safflower oil cake and sunn hemp, which also increased the activity of","Economic Importance: Moderate<Br>
Distribution: Worldwide<Br>
Seedborne Incidence: Low<Br>
Seed Transmitted: No<Br>
Seed Treatment: Yes<Br>
Overall Risk: Low<Br>
C. rolfsii is widely distributed throughout the world on a broad range of hosts.",153616,作物保护大全检索系统2012(Crop Protection Compendium 2012),,何善勇,2012-11-27 15:54:15.000,何善勇,2012-12-10 10:46:54.000,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,16ab10d8-4429-4b7f-a9f9-4a271c25f4d0,Athelia rolfsii,,,,白绢病是一种土传病害。在防治上应以农业防治为主，并结合进行化学防治。慎选茶苗种植地是一项重要的防病措施。尽量避免在感染过白绢病的植物地上种植茶苗，当在熟地栽种茶苗以前，应用70%五氯硝基苯粉剂15~35kg/ha，混入细土200~300kg，撒施在土面，并进行浅耕，可以杀灭土壤中的白绢病菌。加强对茶园苗圃的检查，如发现有茶苗萎蔫并出现早期症状时，可用0.5%CuSO4液，或50%托布津500倍液，或50%多菌灵500~800倍液灌施茶苗茎基部以及土壤中，以防止病害继续蔓延。间隔7~10天后在灌施一次，效果更好。对于死苗，立即拔除，并将周围土壤一并挖出，换以新土，在病树穴中以及病土中同样施入上述杀菌剂进行消毒后，方可补植茶苗。挖出的病土应携出园外。此外加强田间管理，增施有机肥，改良土壤可以提高茶树的抗病力。,,6908,茶树病害的诊断,169-170,张希玲,2012-05-24 09:56:36.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,f8cffdd5-580e-4937-b838-616e7d374e4b,Athelia rolfsii,,发生普遍而严重。茶苗受害后，常整株枯萎，叶片脱落。发生严重时，植株成片枯死，造成缺苗和断行，影响新茶园的发展。,春季或初夏，温湿度适宜时，菌核萌芽形成吸器或菌丝体，呈匍匐状沿着土隙蔓延至邻株。夏季降暴雨时，病菌可随雨水冲流而传播。此外，通过中耕以及移动土壤等农事操作也可传播病害。还可随苗木调运传播。,,,3217,中国农作物病虫害(下),342-343,张希玲,2012-05-23 16:04:55.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,3d9363d0-afe6-4ae0-9eb2-300c4dff49c1,Athelia rolfsii,,花生白绢病主要分布于长江流域和南方各花生产区。一般为零星发生，严重的发病率也可高达30%以上。该病菌寄主范围很广，能侵染60多科200多种植物。受害的主要作物有烟草、番茄、茄子、马铃薯、甘薯、大豆、棉花、甘蔗等。,,收获后及时清除病残株和深耕深埋病残株和菌核，轻病地与禾谷科作物轮作1年，病重地轮作2~4年均可减少菌源而减轻病害发生。注意防涝排渍，改善土壤通气条件，不施用未腐熟的有机肥也可减轻病害。美国常在花生下针期施用五氯硝基苯（PCNB）和萎锈灵颗粒剂或喷雾，有效地控制病害发生。,,3217,中国农作物病虫害(下),951,张希玲,2012-01-11 09:56:40.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,07289eca-d4d1-41be-a959-863071590ffc,Athelia rolfsii,"C. rolfsii infects more than 500 species of monocotyledonous and dicotyledonous plants, but is especially severe on legumes, solanaceous crops, cucurbits and other vegetables grown in rotation with beans (Hall, 1991).Affected Plant Stages: Flowerin","Disease caused by C. rolfsii occurs on a broad range of crops and can be of economic importance in tropical and subtropical regions of the world. ^p^pStem and pod rots caused by C. rolfsii affect groundnut in many countries, reducing yields by 10-25%. Pod yield losses may reach more than 80% in heavily infested fields (Mehan et al., 1995). A yield-loss study of groundnut in Alabama, USA, during 1983-89, showed that yield yield was increased by an average of 10.6% and disease incidence was reduced by 52.6% in plots protected by fungicide compared with untreated plots (Bowen et al., 1992). In a survey of betel gardens in different localities in India, C. rolfsii was found to be responsible for plant losses of 42-62% (Singh and Chand, 1972). ^p^pIn August 1990, soyabean plants with characteristic symptoms of southern blight caused by C. rolfsii were found in south-eastern Kansas, USA; the disease affected 10-50% of plants in localized areas (Appel and Jardine, 1992). In southern regions of the USA, losses in soyabean of 20-30% have been reported, but the disease is generally considered to be minor (Aycock, 1966). The disease has been reported as a minor problem in soyabean in Zimbabwe (Smartt, 1960). ^p^pCorticium rolfsii ear rot has been reported on maize only in the Himachal Pradesh region of India, and in Pakistan, where it has causes significant losses Sharma et al., 1976, 1977). A sunflower disease survey in the mid-west of the USA during 1989 detected S. rolfsii wilt in 6% of surveyed fields (Gulya et al., 1991).",,,,7000,CPC2006,,CPC2006,2008-07-11 10:54:00.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,4e38fad0-6b53-4f61-afe8-7c5c35a44913,Athelia rolfsii,,,"Plant parts liable to carry the pest in trade/transport - Bulbs/Tubers/Corms/Rhizomes: Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - Fruits (inc. Pods): Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - Growing Medium Accompanying Plants: Sclerotia, Hyphae; borne externally; invisible.^p - Flowers/Inflorescences/Cones/Calyx: Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - Leaves: Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - Roots: Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - Stems (above Ground)/Shoots/Trunks/Branches: Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.^p - True Seeds (inc. Grain): Sclerotia, Hyphae; borne internally; borne externally; visible to naked eye.Plant parts not known to carry the pest in trade/transport - Bark^p - Seedlings/Micropropagated Plants^p - Wood.	",,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,2d344077-fda1-446a-8456-4cf5b94b81d6,Athelia rolfsii,,,"Incidence^p^pAs an ear-rotting fungus, infection levels of up to 100% have been reported in maize (Sharma et al., 1977). In soyabean, it has been detected in seeds at infection levels of up to 42% (Nicholson and Sinclair, 1973; Ellis et al., 1979; Popoola and Akueshi, 1986). C. rolfsii was detected in nine out of 32 seed samples of groundnut (Mridha and Fakir, 1978). Other seeds on which the pathogen has been detected include lentil (Rajendra Prasad and Chaudhary, 1987), Phaseolus vulgaris (Akem and Dashiell, 1991), wheat (Epps et al., 1951), lettuce (Silveira, 1947), jute (Mandal, 2001), periwinkle (Ou Yang and Wu, 1998) and watermelon (Ikediugwu, 1980).^p^pC. rolfsii was reported in kernels of lodged sunflowers that had contact with infested soil, but the pathogen was not recovered from seeds from non-lodged plants (Lakshmidev et al., 1991).^p^p^Effect on Seed Quality^p^pC. rolfsii rots kernels on the ears of maize (Sharma et al., 1977).^p^p^Seed Transmission^p^pThere is no evidence for seed transmission of the pathogen.^p^p^Seed Treatments^p^pFungicide seed treatment is effective for control of C. rolfsii diseases on several crops. The most commonly cited fungicides include captan (Fahim et al., 1984), quintozene, thiram and carbendazim (Singh et al., 1982), triadimenol (Sharma et al., 1994), benomyl (Prasad et al., 1987), mancozeb (Singh et al., 1985), guazatine (Kulkarni, 1980) and oxycarboxin (Reddy et al., 1976).^p^p^Seed Health Tests^p^pCulture plate test (Popoola and Akueshi, 1986)^p^pSeeds are surface disinfected in 0.2% sodium hypochlorite for 3-5 min., then washed five times in sterile water and incubated on potato dextrose agar. For information regarding incubation times, refer to ISTA (1966).^p^pBlotter test (Popoola and Akueshi, 1986)^p^pSeeds are surface disinfected in 0.2% sodium hypochlorite for 3-5 min., then washed five times in sterile water before incubating on a damp blotter for 7 days at 25°C under cycles of 12 h NUV light followed by 12 h darkness.^p^pNotes on methods^p^pThe culture plate and blotter methods were used for soyabean (Popoola and Akueshi, 1986) but should also be effective for other types of seeds.",,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
