icode,author_display,title,species_guid,id
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
154220,"Pinke et al., 2012",The first occurrence of Euphorbia davidii in Hungary,1cff49ae-dd55-4a02-8546-50fee3cced04,
161570,"CABI, 2016",作物保护大全检索系统2016（Crop Protection Compendium 2016）,1cff49ae-dd55-4a02-8546-50fee3cced04,
15282930,于胜祥，刘慧明，王振华，张建坤,中国外来入侵植物彩色图鉴,1cff49ae-dd55-4a02-8546-50fee3cced04,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
153616,"CABI, 2012",作物保护大全检索系统2012(Crop Protection Compendium 2012),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
153616,"CABI, 2012",作物保护大全检索系统2012(Crop Protection Compendium 2012),6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
87985,"Chang & Mirza, 1994","Sclerotium rolfsii on Alstroemeria in Alberta, Canada",6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
133947,"IRAT, 1983",Annual Report 1982.,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
64435,"Minton & Bell, 1981","Effects of chemicals, applied before and after planting, on nematodes and southern stem rot of peanuts",6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
67708,"West et al., 1991",`Marion` lespedeza: a new forage cultivar,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
92830,"Ristaino et al., 1991","Effect of solarization and Gliocladium virens on sclerotia of Sclerotium rolfsii, soil microbiota, and the incidence of southern blight of tomato",6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
105497,"Nalim et al., 1995",Mycelial compatibility groups in Texas peanut field populations of Sclerotium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
90649,"Damicone & Jackson, 1994",Factors affecting chemical control of southern blight of peanut in Oklahoma,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
7000,"CAB, 2006",CPC2006,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
154498,"CABI, 1992",Corticium rolfsii. [Distribution map].,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,
