species_guid,continent_name,country_name,province_name,description,id
1cff49ae-dd55-4a02-8546-50fee3cced04,北美洲,美国,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,保加利亚,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,法国,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,塞尔维亚,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,乌克兰,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,匈牙利,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,欧洲,意大利,,,
1cff49ae-dd55-4a02-8546-50fee3cced04,亚洲,中国,江苏,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,安提瓜和巴布达,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,巴巴多斯,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,巴拿马,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,百慕大群岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,伯利兹,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,多米尼加,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,多米尼加共和国,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,法属西印度群岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,哥斯达黎加,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,格林纳达,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,古巴,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,瓜德罗普,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,海地,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,洪都拉斯,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,加拿大,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,加拿大,艾伯塔省,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,马提尼克（法属）,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,阿肯色州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,北卡罗来那州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,宾夕法尼亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,德克萨斯州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,俄亥俄州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,俄克拉何马州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,俄勒冈州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,佛罗里达州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,弗吉尼亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,华盛顿,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,加利福尼亚州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,堪萨斯州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,康涅狄格州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,肯塔基,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,路易斯安那州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,马里兰州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,密苏里州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,密西西比州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,密歇根州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,明尼苏达州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,内华达州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,南卡罗来那州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,纽约州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,田纳西州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,新泽西州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,亚拉巴马州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,亚利桑那州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,伊利诺斯州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,衣阿华州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,印第安那州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,犹他州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,美国,佐治亚州,"存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,蒙特塞拉特岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,墨西哥,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,尼加拉瓜,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,萨尔瓦多,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,圣基茨和尼维斯,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,圣卢西亚,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,圣文森特和格林纳丁斯,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,特立尼达和多巴哥,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,危地马拉,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,北美洲,牙买加,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,澳大利亚北部省份,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,昆士兰州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,南澳大利亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,塔斯玛尼亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,维多利亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,西澳大利亚州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,澳大利亚,新南威尔士州,"存在 present,存在，但无详细描述 Present, no further details",
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,巴布亚新几内亚,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,法属波利尼西亚,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,斐济,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,关岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,诺福克岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,萨摩亚,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,所罗门群岛,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,汤加,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,大洋洲,图瓦卢,,,
