id,species_guid,host_guid,host_name,host_name_cn,host_types
,1cff49ae-dd55-4a02-8546-50fee3cced04,f9f1ac13-a3ce-4915-918c-14b3fe238d01,Zea mays,玉蜀黍，玉米,",接种寄主,其他,危害植物,为害植物,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,5658ba6b-faeb-4e04-917d-6e79322ab8b1,Asteraceae,菊科,",自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,77e9fc6e-fef6-45ba-9a9a-6034db1e3806,Chrysanthemum,菊属,",自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,8bc05db8-5f26-484e-b023-59943f9d01cf,Chrysanthemum × morifolium,菊花，杭白菊,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,f67c8c0c-898d-4aa6-9fd8-db58d10ff395,Chrysanthemum morifolium,杭菊,",接种寄主,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,8e7976d7-f8ea-44df-8f1e-a21a65b45671,Chrysanthemum sinense,菊花,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,a2c0a057-5d1e-4cc5-b7f1-27b314937874,Cichorium,菊苣属,"为害植物,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,53251124-9f0d-41c0-87f9-7b8f682418fd,Compositae,菊科,"接种寄主,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,d7b1dc39-b606-4f33-9e8d-3d73cd3f14a3,Cynara cardunculus var. scolymus,,",自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,beaf6def-9bb8-49b4-847b-dd77dd65fb7f,Cynara scolymus,菜蓟，洋蓟,",接种寄主,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,3bda72d2-f7cc-4aee-8ed3-5a6619a8146f,Dahlia pinnata,大丽花,",接种寄主,为害植物,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7ddfc37d-8468-482b-ae36-e505299dc6a6,Helianthus annuus,向日葵,",接种寄主,为害植物,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,b4586b39-0445-41d3-a3b4-ea8845fbdc4c,Ixeris denticulata,秋苦荬菜,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,75234f59-988b-4b64-9bd8-cbe8ddc584d6,Lactuca,莴苣属,",自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,39f63846-c515-4aff-b04a-508eb11e68fc,Lactuca sativa,莴苣,",接种寄主,其他,为害植物,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,86379990-ebd6-4593-9e9f-780f25b10588,Pyrethrum,小黄菊属,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,01bf79d9-8351-4953-b442-1556b5ee6583,Rudbeckia hirta,黑心金光菊，黑心菊,",接种寄主,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,ade069f4-1421-4558-8151-e6e727a2bd74,Rudbeckia laciniata,金光菊,"接种寄主,自然寄主"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,a24dbfe0-f0d1-4abf-81e3-bb0c11ea0cde,Sonchus brachyotus,匍茎苦菜,"接种寄主,为害植物"
,e0acc296-70cd-4a76-8279-45fa5eef0e77,cd4f4bac-b132-40b2-a7e6-34df85ba55ce,Tanacetum cinerariifolium,除虫菊，达尔马提亚艾菊,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,8f01fe05-6f08-46db-ba44-13e264a25b15,Tanacetum coccineum,红花除虫菊,自然寄主
,e0acc296-70cd-4a76-8279-45fa5eef0e77,ca8b530c-b6dc-4ec1-ab87-b54d661a516d,Zinnia elegans,百日菊,",,接种寄主,自然寄主"
,d7815b53-c892-4409-9465-29ae2f0e7703,6cbe0150-2b19-4b5b-8367-20c6b85d4a0b,,,
,d7815b53-c892-4409-9465-29ae2f0e7703,05f223f4-1f77-42a7-b246-620188c8e2c7,Ananas comosus,凤梨，菠萝,",自然寄主"
,d7815b53-c892-4409-9465-29ae2f0e7703,e26e83d8-7eda-40d6-9a14-5f9385294ed8,Cocos nucifera,椰子,",接种寄主,自然寄主"
,d7815b53-c892-4409-9465-29ae2f0e7703,17ae786d-b002-400e-9cd9-6a7bfbd89e1e,Coffea,咖啡属,",自然寄主"
,d7815b53-c892-4409-9465-29ae2f0e7703,312285cf-0ebd-4e95-9480-82d5c9a94aeb,Manihot esculenta,木薯,",接种寄主,为害植物,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,86a0ea24-526d-45e8-a715-b6073aeee841,Acacia,相思树属,",为害植物,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,2985006c-cbdb-42c3-aba6-397b0fc80c82,Agave sisalana,剑麻,自然寄主
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,05f223f4-1f77-42a7-b246-620188c8e2c7,Ananas comosus,凤梨，菠萝,",自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,8ce45f53-3b6d-4e86-be48-7731a94857d9,Camellia sinensis,茶,",接种寄主,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,17ae786d-b002-400e-9cd9-6a7bfbd89e1e,Coffea,咖啡属,",自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,8846c805-a105-442c-b7ec-bce72aa4c482,Gossypium,棉属,",其他,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,ed0b23bd-53b2-465a-8770-ef82a67dd75c,Linum usitatissimum,亚麻,",自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,affd43f4-2610-4247-85f4-b8bff6762971,Musa,芭蕉属,",其他,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,053266e2-e48f-4145-9dd3-2ca45709dc8c,Phaseolus vulgaris,菜豆,",接种寄主,其他,为害植物,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,b821c938-ef78-4cd1-ae4c-b0e15751321b,Saccharum officinarum,甘蔗,",接种寄主,其他,为害植物,自然寄主"
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,cd4f4bac-b132-40b2-a7e6-34df85ba55ce,Tanacetum cinerariifolium,除虫菊，达尔马提亚艾菊,自然寄主
