species_guid,taxonomy_guid,taxonomy_level,scientific_name,chinese_name,taxonomy_class,parent_scientific_name,id
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,91136d77-6c07-4116-b5f8-8b6cc019d4a0,界,Fungi,真菌界,真菌,,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,6b249448-037c-4046-a3d8-a914057146a0,门,Basidiomycota,担子菌门,真菌,Fungi,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,cece34e5-a936-4158-9299-e488b7d7a089,纲,Agaricomycetes,伞菌纲,真菌,Basidiomycota,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,cfc24494-6cd6-483c-97c5-a25c61437a79,目,Amylocorticiales,碘伏革菌目,真菌,Agaricomycetes,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,6881d50d-5218-4e4a-83c8-3462977941ac,科,Amylocorticiaceae,粉伏革菌科,真菌,Amylocorticiales,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,409e2abd-9266-4d8a-a948-f48c755cca96,属,Agroathelia,阿泰菌属,真菌,Amylocorticiaceae,
b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,b6d5fa52-013e-479c-8fd9-ef61ac8eeaa1,种,Agroathelia delphinii,（阿泰菌属）,真菌,Agroathelia,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,91136d77-6c07-4116-b5f8-8b6cc019d4a0,界,Fungi,真菌界,真菌,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,6b249448-037c-4046-a3d8-a914057146a0,门,Basidiomycota,担子菌门,真菌,Fungi,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,cece34e5-a936-4158-9299-e488b7d7a089,纲,Agaricomycetes,伞菌纲,真菌,Basidiomycota,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,cfc24494-6cd6-483c-97c5-a25c61437a79,目,Amylocorticiales,碘伏革菌目,真菌,Agaricomycetes,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,6881d50d-5218-4e4a-83c8-3462977941ac,科,Amylocorticiaceae,粉伏革菌科,真菌,Amylocorticiales,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,409e2abd-9266-4d8a-a948-f48c755cca96,属,Agroathelia,阿泰菌属,真菌,Amylocorticiaceae,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,种,Agroathelia rolfsii,罗耳阿太菌(齐整小核菌有性态),真菌,Agroathelia,
1cff49ae-dd55-4a02-8546-50fee3cced04,4a82f625-c7c8-48c5-a2cc-7940310a638f,界,Plantae,植物界,植物,,
1cff49ae-dd55-4a02-8546-50fee3cced04,d1774ef0-036a-427b-b8de-0f2754b3ea9d,门,Angiospermae,被子植物门,植物,Plantae,
1cff49ae-dd55-4a02-8546-50fee3cced04,e7e5aa37-f84a-40b3-89f0-b84c55181d86,纲,Dicotyledonae,双子叶植物纲,杂草,Angiospermae,
1cff49ae-dd55-4a02-8546-50fee3cced04,52efb0e6-448b-4969-b67f-2b8e1a38bf22,目,Euphorbiales,大戟目,杂草,Dicotyledonae,
1cff49ae-dd55-4a02-8546-50fee3cced04,b1690c9d-a8a7-4a52-b330-7ef48f828a3d,科,Euphorbiaceae,大戟科,杂草,Euphorbiales,
1cff49ae-dd55-4a02-8546-50fee3cced04,f59b3ddf-1fad-47e3-a8bc-ea35934b7474,属,Euphorbia,大戟属,杂草,Euphorbiaceae,
1cff49ae-dd55-4a02-8546-50fee3cced04,1cff49ae-dd55-4a02-8546-50fee3cced04,种,Euphorbia davidii,戴维大戟,植物,Euphorbia,
e0acc296-70cd-4a76-8279-45fa5eef0e77,91136d77-6c07-4116-b5f8-8b6cc019d4a0,界,Fungi,真菌界,真菌,,
